"timestamp","config","zone","n_total","n_valid","mean_mm","our_sigma_mm","valid_yield","mean_sensor_sigma_mm"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","0","200","200","483.56","3.84","1.000","3.47"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","1","200","200","481.45","3.30","1.000","2.97"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","2","200","200","476.62","3.07","1.000","2.99"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","3","200","200","474.41","3.48","1.000","2.98"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","4","200","200","470.11","2.75","1.000","2.34"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","5","200","200","468.66","2.58","1.000","2.77"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","6","200","200","465.79","2.87","1.000","2.94"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","7","200","200","464.24","3.40","1.000","2.96"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","8","200","200","488.54","3.81","1.000","3.13"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","9","200","200","482.55","3.21","1.000","2.87"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","10","200","200","481.29","3.34","1.000","2.90"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","11","200","200","477.95","2.86","1.000","2.67"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","12","200","200","475.52","3.15","1.000","2.54"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","13","200","200","471.69","2.79","1.000","2.23"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","14","200","200","470.37","2.82","1.000","2.75"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","15","200","200","466.63","2.94","1.000","2.94"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","16","200","200","491.33","3.67","1.000","3.26"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","17","200","200","488.86","4.23","1.000","3.58"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","18","200","200","484.79","3.03","1.000","3.00"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","19","200","200","483.24","3.12","1.000","2.96"
