"timestamp","config","threshold_mm","detection_rate","n_below","n_frames","any_valid_rate","median_our_sigma_mm","median_sensor_sigma_mm","overall_valid_yield","zones_reporting"
"2026-05-24T17:53:30","A1-8x8-10hz-sharp0-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","3.47","3.06","1.0000","64"
"2026-05-24T17:54:23","A2-8x8-10hz-sharp5-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","3.45","3.07","1.0000","64"
"2026-05-24T17:55:51","A4-8x8-15hz-sharp0-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","4.16","3.97","1.0000","64"
"2026-05-24T17:57:24","A6-8x8-15hz-sharp20-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","4.19","3.94","1.0000","64"
"2026-05-24T17:59:05","B2-4x4-10hz-sharp5-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","0.90","1.00","1.0000","16"
"2026-05-24T18:00:02","B3-4x4-10hz-sharp20-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","0.94","1.00","1.0000","16"
"2026-05-24T18:00:52","B4-4x4-15hz-sharp0-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","1.16","1.00","1.0000","16"
"2026-05-24T18:01:43","B5-4x4-15hz-sharp5-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","1.09","1.00","1.0000","16"
"2026-05-24T18:02:32","B6-4x4-15hz-sharp20-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","1.11","1.00","1.0000","16"
"2026-05-24T18:03:14","B7-4x4-30hz-sharp0-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","1.51","1.05","1.0000","16"
"2026-05-24T18:03:55","B8-4x4-30hz-sharp5-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","1.52","1.10","1.0000","16"
"2026-05-24T18:04:39","B9-4x4-30hz-sharp20-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","1.48","1.06","1.0000","16"
"2026-05-24T18:06:16","D1-8x8-10hz-sharp5-strict-48cm-blackfoam","600","1.0000","200","200","1.0000","3.51","3.07","1.0000","64"
"2026-05-24T18:17:36","A3-8x8-10hz-sharp20-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","3.43","3.05","1.0000","64"
"2026-05-24T18:18:21","A5-8x8-15hz-sharp5-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","4.19","3.95","1.0000","64"
"2026-05-24T18:19:13","B1-4x4-10hz-sharp0-closest-48cm-blackfoam","600","1.0000","200","200","1.0000","0.91","1.00","1.0000","16"
"2026-05-24T18:20:05","C1-8x8-10hz-sharp5-strongest-48cm-blackfoam","600","1.0000","200","200","1.0000","3.43","3.05","1.0000","64"
"2026-05-24T18:27:42","A1-8x8-10hz-sharp0-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","5.26","4.80","1.0000","64"
"2026-05-24T18:28:35","A2-8x8-10hz-sharp5-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","5.22","4.83","1.0000","64"
"2026-05-24T18:29:31","A3-8x8-10hz-sharp20-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","5.36","4.80","0.9999","64"
"2026-05-24T18:30:17","A4-8x8-15hz-sharp0-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","6.59","5.93","1.0000","64"
"2026-05-24T18:31:47","A6-8x8-15hz-sharp20-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","6.40","5.94","1.0000","64"
"2026-05-24T18:33:29","B2-4x4-10hz-sharp5-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","1.31","1.00","1.0000","16"
"2026-05-24T18:34:24","B3-4x4-10hz-sharp20-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","1.39","1.00","1.0000","16"
"2026-05-24T18:35:10","B4-4x4-15hz-sharp0-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","1.64","1.60","1.0000","16"
"2026-05-24T18:35:57","B5-4x4-15hz-sharp5-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","1.59","1.87","1.0000","16"
"2026-05-24T18:36:43","B6-4x4-15hz-sharp20-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","1.61","1.70","1.0000","16"
"2026-05-24T18:37:25","B7-4x4-30hz-sharp0-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","2.34","2.00","1.0000","16"
"2026-05-24T18:38:45","B9-4x4-30hz-sharp20-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","2.38","2.00","1.0000","16"
"2026-05-24T18:39:36","C1-8x8-10hz-sharp5-strongest-68cm-blackfoam","600","0.0000","0","200","1.0000","5.27","4.72","1.0000","64"
"2026-05-24T18:40:28","D1-8x8-10hz-sharp5-strict-68cm-blackfoam","600","0.0000","0","200","1.0000","5.17","4.74","1.0000","64"
"2026-05-24T18:53:45","A5-8x8-15hz-sharp5-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","6.35","6.01","1.0000","64"
"2026-05-24T18:55:07","B8-4x4-30hz-sharp5-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","2.20","2.00","1.0000","16"
"2026-05-24T19:02:17","B1-4x4-10hz-sharp0-closest-68cm-blackfoam","600","0.0000","0","200","1.0000","1.43","1.00","1.0000","16"
2026-05-24T19:52:41,A4-8x8-15hz-sharp0-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,8.20,7.73,0.9994,64
2026-05-24T19:54:27,A1-8x8-10hz-sharp0-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,6.70,6.13,1.0000,64
2026-05-24T19:55:18,A2-8x8-10hz-sharp5-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,6.80,6.16,1.0000,64
2026-05-24T19:56:10,A3-8x8-10hz-sharp20-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,6.99,6.12,1.0000,64
2026-05-24T19:56:54,A4-8x8-15hz-sharp0-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,8.42,7.79,0.9994,64
2026-05-24T19:58:01,A5-8x8-15hz-sharp5-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,8.55,7.75,0.9997,64
2026-05-24T19:59:07,A6-8x8-15hz-sharp20-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,8.26,7.67,0.9994,64
2026-05-24T20:00:20,B1-4x4-10hz-sharp0-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,1.71,1.92,1.0000,16
2026-05-24T20:01:11,B2-4x4-10hz-sharp5-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,1.70,1.92,1.0000,16
2026-05-24T20:02:03,B3-4x4-10hz-sharp20-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,1.78,1.86,1.0000,16
2026-05-24T20:02:47,B4-4x4-15hz-sharp0-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,2.15,2.00,1.0000,16
2026-05-24T20:03:32,B5-4x4-15hz-sharp5-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,2.16,2.00,1.0000,16
2026-05-24T20:04:17,B6-4x4-15hz-sharp20-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,2.11,2.00,1.0000,16
2026-05-24T20:04:55,B7-4x4-30hz-sharp0-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,2.94,2.82,1.0000,16
2026-05-24T20:05:34,B8-4x4-30hz-sharp5-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,3.03,2.79,1.0000,16
2026-05-24T20:06:33,B9-4x4-30hz-sharp20-closest-89cm-blackfoam,600,0.0000,0,200,1.0000,2.90,2.84,1.0000,16
2026-05-24T20:07:48,C1-8x8-10hz-sharp5-strongest-89cm-blackfoam,600,0.0000,0,200,1.0000,6.53,6.13,1.0000,64
2026-05-24T20:09:00,D1-8x8-10hz-sharp5-strict-89cm-blackfoam,600,0.0000,0,200,1.0000,6.86,6.19,1.0000,64
2026-05-25T11:00:35,post-rotation-test,600,0.0000,0,10,1.0000,5.13,4.95,0.9984,64
2026-05-25T11:33:30,wall-tilt-calib-h185cm-d81cm,600,0.0000,0,200,1.0000,14.14,2.01,1.0000,64
