frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,873,870,862,856,885,887,873,864,899,895,885,869,915,912,898,884,3,2,2,2,3,2,2,2,3,2,3,3,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,877,874,864,858,892,891,877,868,906,898,889,880,915,908,892,893,3,3,2,2,3,3,3,3,3,3,3,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,879,873,865,853,893,882,873,866,904,891,884,877,911,905,895,885,3,2,2,2,3,2,2,3,3,2,2,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,879,869,866,857,894,884,876,867,900,900,887,878,920,901,895,891,3,2,2,2,3,2,3,3,3,3,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,878,874,867,854,885,883,878,872,904,889,888,880,912,902,899,885,3,3,2,2,3,2,2,3,3,2,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,876,871,863,857,892,883,877,862,903,898,889,876,902,898,894,886,3,3,2,2,3,2,2,3,3,3,3,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,876,869,866,857,891,882,878,865,905,894,887,874,914,906,897,887,3,2,2,2,3,2,2,2,3,2,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,875,871,866,857,891,887,876,870,906,898,889,884,911,908,899,893,3,2,2,2,3,2,3,3,3,3,2,2,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,874,876,862,855,892,885,876,864,901,894,894,880,914,910,897,885,3,3,2,2,3,2,2,2,3,2,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,872,872,862,856,891,882,872,867,902,892,893,881,912,903,898,892,3,3,2,2,3,3,2,3,3,2,3,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
