frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
0,674,684,669,669,665,655,659,656,683,685,673,662,658,658,665,661,690,690,676,678,684,671,666,659,697,693,700,684,678,669,676,667,717,700,698,696,691,681,672,677,719,710,706,694,697,692,690,676,716,710,714,712,688,708,687,702,729,728,722,716,702,706,708,706,4,4,4,5,3,4,4,4,5,4,4,4,4,3,4,4,6,5,5,4,4,4,4,4,6,4,5,4,4,4,5,5,5,4,4,5,4,4,5,4,6,5,4,5,5,4,5,5,5,7,6,5,5,6,6,8,8,8,6,7,6,5,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,673,673,674,654,657,655,661,656,696,683,673,673,664,668,655,661,675,683,686,685,680,664,672,666,708,698,683,685,682,675,676,682,708,696,700,695,691,689,675,678,713,706,704,705,700,688,681,686,709,724,714,722,696,705,691,675,738,736,713,714,699,699,714,684,5,5,4,4,4,4,4,6,5,5,5,5,4,5,4,4,6,5,5,5,4,4,4,4,5,5,5,4,4,4,5,5,6,5,4,4,5,5,4,5,6,5,5,5,6,6,5,5,7,7,5,6,5,4,5,6,8,10,5,8,6,6,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,677,673,672,672,659,659,651,643,686,685,679,672,674,666,648,659,690,695,678,681,672,661,663,660,704,685,690,683,684,684,675,669,698,703,702,694,683,692,678,672,716,698,709,695,690,681,692,683,721,699,703,706,692,693,697,688,721,735,714,712,708,702,696,703,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,3,6,6,5,5,3,4,4,4,5,5,5,4,4,4,5,4,6,5,4,5,5,5,4,5,5,5,6,5,5,5,5,5,6,6,6,5,4,5,5,5,7,7,5,7,6,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,678,666,665,673,656,660,651,650,694,676,680,666,669,669,654,664,694,682,683,680,680,671,666,666,694,698,684,686,673,677,667,668,696,711,701,694,681,686,682,682,715,705,700,706,694,691,688,681,711,718,719,713,693,696,689,688,724,715,719,716,700,693,692,708,5,5,4,5,4,4,4,5,5,4,4,4,4,4,4,4,8,5,5,5,4,4,4,4,7,5,6,4,5,4,5,5,7,5,4,4,5,5,4,5,5,6,4,6,6,4,4,5,6,7,5,5,5,6,5,6,9,9,6,7,6,6,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,682,669,668,667,658,657,649,655,686,676,677,669,657,658,661,651,690,687,680,676,670,665,671,662,706,699,688,683,674,675,677,672,702,703,694,685,700,683,673,681,710,704,693,691,697,685,687,680,716,710,707,705,701,704,690,686,719,737,722,701,699,703,694,688,6,5,4,4,4,4,4,5,5,4,4,4,4,3,5,4,5,5,4,5,3,4,4,4,5,4,5,4,4,4,6,5,7,5,4,4,6,5,4,5,5,6,4,5,5,5,5,5,7,6,6,6,4,6,6,7,6,10,6,7,5,5,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,675,674,673,660,660,655,663,661,686,675,686,679,667,663,659,662,691,686,695,680,675,667,662,666,695,687,691,684,678,680,672,671,707,697,692,692,680,682,681,685,715,704,698,708,695,689,701,696,714,730,713,691,700,700,693,697,736,734,725,698,696,702,706,677,5,4,4,4,4,5,4,4,5,4,4,4,4,3,4,4,7,6,4,5,4,4,4,5,6,4,4,4,4,4,5,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,6,5,6,9,6,6,5,5,5,7,7,9,6,7,6,6,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,678,671,666,663,658,660,656,654,686,675,682,672,668,652,662,661,692,687,681,678,678,674,664,669,697,697,695,688,677,677,669,670,708,701,693,696,686,681,682,675,712,699,704,702,701,681,684,675,717,721,712,700,694,700,689,683,723,717,719,714,703,705,703,688,6,5,4,4,4,4,4,5,5,4,4,4,4,3,4,4,5,5,4,5,4,4,4,4,5,4,6,4,4,4,4,5,7,4,4,5,5,5,4,5,5,6,5,5,5,5,5,5,6,8,6,6,5,5,6,6,8,8,6,7,6,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,692,673,672,664,662,666,656,658,689,673,675,684,671,667,660,654,688,691,687,686,674,674,663,661,695,691,687,681,675,684,670,674,716,700,690,693,693,686,684,680,702,706,711,702,688,686,692,685,729,707,704,709,696,703,690,696,724,728,714,718,686,714,707,689,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,6,6,4,4,4,4,4,4,6,4,6,4,4,5,5,5,7,5,5,4,5,5,5,5,5,6,5,5,6,4,5,6,6,7,7,7,5,5,7,8,7,8,5,8,5,6,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,668,684,658,660,659,659,651,651,689,676,682,673,661,660,653,652,687,697,682,676,670,669,666,659,702,697,691,690,675,675,672,661,708,697,700,697,692,695,672,671,720,706,703,699,685,685,690,683,728,711,703,710,695,691,697,689,712,725,709,692,697,704,708,710,5,5,4,4,3,4,3,4,5,4,4,3,4,4,4,4,6,6,4,5,3,4,4,4,6,5,6,4,3,4,5,4,5,4,4,3,5,4,4,4,5,5,4,5,5,5,5,6,8,6,5,6,5,5,5,6,6,8,5,7,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,677,683,666,672,661,658,662,646,678,685,680,671,674,664,663,656,710,681,680,679,677,668,664,662,680,692,703,686,689,681,678,675,713,705,701,695,680,677,693,674,719,703,707,695,698,687,692,683,712,716,699,710,707,704,688,695,731,722,717,717,701,701,699,679,6,4,4,5,3,5,4,5,6,4,4,4,5,4,4,4,7,5,5,5,4,4,5,4,6,4,5,4,5,4,4,5,6,5,4,5,5,4,4,5,6,5,5,6,7,4,5,6,8,6,6,7,6,6,5,6,9,9,4,7,7,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
